,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,16.666666666666664,0.0,50.0,33.33333333333333,0.0,,,,0.0774970428388794
2-3,50.0,0.0,16.666666666666664,0.0,0.0,0.0,33.33333333333333,0.5061030189196268,0.89422607421875,22.62222222222222,0.0770869398342444
2-5,0.0,0.0,16.666666666666664,0.0,50.0,0.0,33.33333333333333,,,,0.0771440884977874
2-7,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.5961123704910278,0.4597015380859375,24.016666666666666,0.0775505540098652
2-9,33.33333333333333,0.0,50.0,0.0,16.666666666666664,0.0,0.0,0.3410186618566513,0.3690185546875,22.78333333333333,0.0775416614735021
2-11,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.4372572849194209,0.5481770833333334,20.566666666666663,0.0789186970154295
2-13,33.33333333333333,0.0,0.0,0.0,16.666666666666664,0.0,50.0,0.5757572501897812,0.2844314575195312,21.48333333333333,0.0778058165291878
2-15,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.3637190063794454,0.2173563639322916,22.177777777777777,0.0773059204087962
3-1,0.0,0.0,0.0,0.0,83.33333333333334,0.0,16.666666666666664,,,,0.0776811242103576
3-3,50.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.4317204256852467,3.179871300856272,25.344444444444445,0.0784148667669538
3-5,0.0,0.0,0.0,0.0,66.66666666666666,0.0,33.33333333333333,,,,0.0788681255723642
3-7,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.3567416071891784,0.4836063385009765,22.883333333333333,0.0789922556225807
3-9,0.0,0.0,0.0,0.0,83.33333333333334,0.0,16.666666666666664,,,,0.0793130122871615
3-11,0.0,0.0,0.0,0.0,50.0,0.0,50.0,,,,0.0780326350453938
3-13,16.666666666666664,0.0,0.0,0.0,50.0,0.0,33.33333333333333,0.5445268154144287,1.2548521757125854,26.133333333333333,0.0784117889673316
3-15,16.666666666666664,0.0,0.0,0.0,33.33333333333333,0.0,50.0,0.2480721622705459,0.780017077922821,20.066666666666663,0.0786978031999321
Avg,22.916666666666668,0.0,9.375,0.0,44.791666666666664,2.083333333333333,20.833333333333332,0.44010286033153534,0.8471257964769998,22.807777777777773,0.07807889576748547
