,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,16.666666666666664,0.0,50.0,33.33333333333333,0.0,,,,0.07749704283887943
2-3,50.0,0.0,16.666666666666664,0.0,0.0,0.0,33.33333333333333,0.5061030189196268,0.89422607421875,22.62222222222222,0.07708693983424442
2-5,0.0,0.0,16.666666666666664,0.0,50.0,0.0,33.33333333333333,,,,0.07714408849778746
2-7,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.5961123704910278,0.4597015380859375,24.016666666666666,0.07755055400986526
2-9,33.33333333333333,0.0,50.0,0.0,16.666666666666664,0.0,0.0,0.3410186618566513,0.3690185546875,22.78333333333333,0.0775416614735021
2-11,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.4372572849194209,0.5481770833333334,20.566666666666666,0.07891869701542953
2-13,33.33333333333333,0.0,0.0,0.0,16.666666666666664,0.0,50.0,0.5757572501897812,0.28443145751953125,21.483333333333334,0.07780581652918787
2-15,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.3637190063794454,0.21735636393229166,22.177777777777777,0.07730592040879629
3-1,0.0,0.0,0.0,0.0,83.33333333333334,0.0,16.666666666666664,,,,0.07768112421035767
3-3,50.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.43172042568524677,3.1798713008562722,25.344444444444445,0.07841486676695383
3-5,0.0,0.0,0.0,0.0,66.66666666666666,0.0,33.33333333333333,,,,0.0788681255723642
3-7,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.35674160718917847,0.48360633850097656,22.883333333333333,0.07899225562258072
3-9,0.0,0.0,0.0,0.0,83.33333333333334,0.0,16.666666666666664,,,,0.07931301228716153
3-11,0.0,0.0,0.0,0.0,50.0,0.0,50.0,,,,0.0780326350453938
3-13,16.666666666666664,0.0,0.0,0.0,50.0,0.0,33.33333333333333,0.5445268154144287,1.2548521757125854,26.133333333333333,0.07841178896733164
3-15,16.666666666666664,0.0,0.0,0.0,33.33333333333333,0.0,50.0,0.24807216227054596,0.780017077922821,20.066666666666666,0.07869780319993214
Avg,22.916666666666664,0.0,9.375,0.0,44.79166666666667,2.083333333333333,20.83333333333333,,,,0.07807889576748549
