,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,0.08053351948489368
2-3,50.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.5491679310798645,0.8866373697916666,19.700000000000003,0.08059125275587507
2-5,16.666666666666664,16.666666666666664,0.0,0.0,66.66666666666666,0.0,0.0,0.7378346920013428,0.2213287353515625,20.0,0.08170346187255795
2-7,16.666666666666664,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.7358350157737732,0.3969879150390625,19.233333333333334,0.0814932424750104
2-9,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,,,,0.08062410336103498
2-11,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.4244069457054138,0.9230499267578125,16.61111111111111,0.08134401450722904
2-13,33.33333333333333,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.45321062207221985,0.29987335205078125,15.983333333333334,0.0805863445810696
2-15,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.477316552400589,1.0918792724609374,18.226666666666667,0.08946517521772927
3-1,16.666666666666664,0.0,16.666666666666664,0.0,33.33333333333333,33.33333333333333,0.0,0.4869232773780823,4.530702114105225,23.366666666666667,0.08038819353442547
3-3,16.666666666666664,0.0,16.666666666666664,0.0,33.33333333333333,33.33333333333333,0.0,0.5334317684173584,0.49567583203315735,17.766666666666666,0.0807736932532652
3-5,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.46304206053415936,0.5153086433808008,18.477777777777778,0.08158457414927474
3-7,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.3235130210717519,1.0399278402328491,18.211111111111112,0.08123455031470801
3-9,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,50.0,,,,0.08109714775610709
3-11,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.3660029470920563,0.34790038876235485,23.016666666666666,0.08114879260691561
3-13,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.0,50.0,0.4392760992050171,0.0584716871380806,20.066666666666666,0.08163760337775595
3-15,33.33333333333333,0.0,0.0,0.0,16.666666666666664,0.0,50.0,0.6179576218128204,0.18615694344043732,20.28333333333333,0.08144917408969324
Avg,29.166666666666664,1.0416666666666665,10.416666666666666,0.0,36.45833333333333,8.333333333333332,14.583333333333332,,,,0.08160342770859658
