,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.07722179542531024
2-3,33.33333333333333,0.0,0.0,0.0,50.0,16.666666666666664,0.0,0.5116270631551743,0.9938125610351562,16.96666666666667,0.07662867427045271
2-5,16.666666666666664,0.0,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.5772421956062317,0.51556396484375,23.166666666666668,0.07707772790429426
2-7,16.666666666666664,0.0,16.666666666666664,0.0,66.66666666666666,0.0,0.0,0.5651191473007202,1.5395050048828125,21.533333333333335,0.07699015175652386
2-9,0.0,0.0,16.666666666666664,0.0,66.66666666666666,0.0,16.666666666666664,,,,0.0772435854033691
2-11,0.0,0.0,16.666666666666664,0.0,83.33333333333334,0.0,0.0,,,,0.0780454461500582
2-13,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.07734497360846672
2-15,16.666666666666664,0.0,0.0,0.0,66.66666666666666,0.0,16.666666666666664,0.4722573459148407,2.058685302734375,13.766666666666667,0.07696255288942895
3-1,0.0,0.0,16.666666666666664,0.0,33.33333333333333,50.0,0.0,,,,0.07680760242817482
3-3,50.0,0.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,0.0,0.26349112888177234,1.0225094457467396,18.144444444444446,0.0773430948867878
3-5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.07805602406128728
3-7,16.666666666666664,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.3311757445335388,0.7237547636032104,20.666666666666668,0.07742903041250912
3-9,16.666666666666664,0.0,50.0,0.0,33.33333333333333,0.0,0.0,0.1901768147945404,0.44596564769744873,14.566666666666666,0.07732370048215538
3-11,16.666666666666664,0.0,16.666666666666664,0.0,33.33333333333333,0.0,33.33333333333333,0.3177020251750946,0.617919921875,20.3,0.07722542218893887
3-13,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.4183497875928879,0.46190862311050296,20.983333333333334,0.07740412090999493
3-15,33.33333333333333,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.3198186159133911,0.8359374701976776,21.799999999999997,0.0776483305972265
Avg,17.708333333333332,0.0,14.583333333333332,0.0,55.20833333333333,7.291666666666666,5.208333333333332,,,,0.07729701458593617
