,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.0783251882686441
2-3,33.33333333333333,0.0,0.0,0.0,50.0,16.666666666666664,0.0,0.3995774388313293,0.4564743041992187,15.166666666666668,0.0785297985363723
2-5,16.666666666666664,0.0,16.666666666666664,0.0,50.0,0.0,16.666666666666664,0.4551602303981781,1.102691650390625,20.466666666666665,0.0788528303191589
2-7,16.666666666666664,0.0,16.666666666666664,0.0,66.66666666666666,0.0,0.0,0.550662636756897,1.0430755615234375,22.866666666666667,0.0787350729209225
2-9,0.0,0.0,33.33333333333333,0.0,66.66666666666666,0.0,0.0,,,,0.0785470580096908
2-11,16.666666666666664,0.0,0.0,0.0,66.66666666666666,0.0,16.666666666666664,0.4215739965438843,1.4953460693359375,16.933333333333334,0.0809852336453903
2-13,0.0,16.666666666666664,16.666666666666664,0.0,50.0,0.0,16.666666666666664,,,,0.0787554085254669
2-15,50.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.3592281540234883,0.37554931640625,17.188888888888886,0.0783801109626375
3-1,0.0,0.0,16.666666666666664,0.0,33.33333333333333,50.0,0.0,,,,0.0784171683718734
3-3,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.3773039579391479,0.7407348155975342,18.955555555555552,0.0791232473232795
3-5,16.666666666666664,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.3219933807849884,0.2804564833641052,19.0,0.0801499580514842
3-7,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.1975560411810875,0.4418521672487259,20.28333333333333,0.0794960988892449
3-9,0.0,0.0,33.33333333333333,0.0,50.0,0.0,16.666666666666664,,,,0.0788683923683445
3-11,50.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.2223236312468846,0.5364156266053518,21.322222222222223,0.0787445899211999
3-13,33.33333333333333,0.0,33.33333333333333,0.0,16.666666666666664,0.0,16.666666666666664,0.3921654224395752,1.647888422012329,20.03333333333333,0.078826267986189
3-15,0.0,0.0,16.666666666666664,0.0,66.66666666666666,0.0,16.666666666666664,,,,0.0784807485239259
Avg,19.791666666666664,1.0416666666666665,13.541666666666663,0.0,52.08333333333333,6.25,7.291666666666664,0.369754489014546,0.8120484416683513,19.221666666666668,0.07895107328898904
