,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.07832518826864411
2-3,33.33333333333333,0.0,0.0,0.0,50.0,16.666666666666664,0.0,0.39957743883132935,0.45647430419921875,15.166666666666668,0.07852979853637236
2-5,16.666666666666664,0.0,16.666666666666664,0.0,50.0,0.0,16.666666666666664,0.4551602303981781,1.102691650390625,20.466666666666665,0.07885283031915898
2-7,16.666666666666664,0.0,16.666666666666664,0.0,66.66666666666666,0.0,0.0,0.550662636756897,1.0430755615234375,22.866666666666667,0.07873507292092252
2-9,0.0,0.0,33.33333333333333,0.0,66.66666666666666,0.0,0.0,,,,0.07854705800969085
2-11,16.666666666666664,0.0,0.0,0.0,66.66666666666666,0.0,16.666666666666664,0.4215739965438843,1.4953460693359375,16.933333333333334,0.08098523364539033
2-13,0.0,16.666666666666664,16.666666666666664,0.0,50.0,0.0,16.666666666666664,,,,0.07875540852546692
2-15,50.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.35922815402348834,0.37554931640625,17.188888888888886,0.07838011096263754
3-1,0.0,0.0,16.666666666666664,0.0,33.33333333333333,50.0,0.0,,,,0.07841716837187344
3-3,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.37730395793914795,0.7407348155975342,18.955555555555552,0.07912324732327956
3-5,16.666666666666664,0.0,0.0,0.0,83.33333333333334,0.0,0.0,0.3219933807849884,0.2804564833641052,19.0,0.08014995805148421
3-7,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.1975560411810875,0.4418521672487259,20.283333333333335,0.07949609888924493
3-9,0.0,0.0,33.33333333333333,0.0,50.0,0.0,16.666666666666664,,,,0.07886839236834456
3-11,50.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.22232363124688467,0.5364156266053518,21.322222222222223,0.07874458992119991
3-13,33.33333333333333,0.0,33.33333333333333,0.0,16.666666666666664,0.0,16.666666666666664,0.3921654224395752,1.647888422012329,20.03333333333333,0.07882626798618902
3-15,0.0,0.0,16.666666666666664,0.0,66.66666666666666,0.0,16.666666666666664,,,,0.07848074852392592
Avg,19.791666666666664,1.0416666666666665,13.541666666666664,0.0,52.08333333333333,6.25,7.291666666666665,,,,0.07895107328898908
