,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,16.666666666666664,0.0,16.666666666666664,33.33333333333333,33.33333333333333,,,,0.07762749381516695
2-3,16.666666666666664,0.0,16.666666666666664,0.0,33.33333333333333,16.666666666666664,16.666666666666664,0.5811081528663635,0.0544891357421875,20.933333333333334,0.07669777313178228
2-5,16.666666666666664,0.0,0.0,0.0,16.666666666666664,33.33333333333333,33.33333333333333,0.6924995183944702,0.481658935546875,25.633333333333333,0.07670268672086969
2-7,0.0,0.0,16.666666666666664,0.0,33.33333333333333,50.0,0.0,,,,0.0770413147950708
2-9,0.0,0.0,50.0,0.0,0.0,50.0,0.0,,,,0.07687681783543955
2-11,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.39185546338558197,1.230255126953125,21.75,0.07828921744129984
2-13,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.48315248886744183,0.5849405924479166,21.844444444444445,0.07663515458311089
2-15,0.0,16.666666666666664,16.666666666666664,0.0,0.0,16.666666666666664,50.0,,,,0.0766676573782731
3-1,16.666666666666664,0.0,0.0,0.0,33.33333333333333,16.666666666666664,33.33333333333333,0.46977698802948,0.38735952973365784,27.433333333333334,0.07578295145398316
3-3,16.666666666666664,0.0,16.666666666666664,0.0,0.0,33.33333333333333,33.33333333333333,0.2657298147678375,0.5642090439796448,22.6,0.07702886541480093
3-5,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.38618873059749603,0.6060885936021805,22.85,0.07722638416605027
3-7,0.0,0.0,50.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,,,,0.07713649198702802
3-9,0.0,0.0,0.0,0.0,50.0,0.0,50.0,,,,0.07603082574941297
3-11,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,50.0,,,,0.07574558312991797
3-13,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.31077614426612854,0.4152955065170924,26.58888888888889,0.07611684478578712
3-15,16.666666666666664,0.0,0.0,0.0,16.666666666666664,33.33333333333333,33.33333333333333,0.0694521889090538,0.317474365234375,27.4,0.07684535364408096
Avg,15.625,1.0416666666666665,13.541666666666664,0.0,19.791666666666664,20.833333333333332,29.166666666666664,,,,0.07677821350200464
