,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,16.666666666666664,0.0,16.666666666666664,33.33333333333333,33.33333333333333,,,,0.0776274938151669
2-3,16.666666666666664,0.0,16.666666666666664,0.0,33.33333333333333,16.666666666666664,16.666666666666664,0.5811081528663635,0.0544891357421875,20.933333333333334,0.0766977731317822
2-5,16.666666666666664,0.0,0.0,0.0,16.666666666666664,33.33333333333333,33.33333333333333,0.6924995183944702,0.481658935546875,25.633333333333333,0.0767026867208696
2-7,0.0,0.0,16.666666666666664,0.0,33.33333333333333,50.0,0.0,,,,0.0770413147950708
2-9,0.0,0.0,50.0,0.0,0.0,50.0,0.0,,,,0.0768768178354395
2-11,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.3918554633855819,1.230255126953125,21.75,0.0782892174412998
2-13,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.4831524888674418,0.5849405924479166,21.844444444444445,0.0766351545831108
2-15,0.0,16.666666666666664,16.666666666666664,0.0,0.0,16.666666666666664,50.0,,,,0.0766676573782731
3-1,16.666666666666664,0.0,0.0,0.0,33.33333333333333,16.666666666666664,33.33333333333333,0.46977698802948,0.3873595297336578,27.433333333333334,0.0757829514539831
3-3,16.666666666666664,0.0,16.666666666666664,0.0,0.0,33.33333333333333,33.33333333333333,0.2657298147678375,0.5642090439796448,22.6,0.0770288654148009
3-5,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.386188730597496,0.6060885936021805,22.85,0.0772263841660502
3-7,0.0,0.0,50.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,,,,0.077136491987028
3-9,0.0,0.0,0.0,0.0,50.0,0.0,50.0,,,,0.0760308257494129
3-11,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,50.0,,,,0.0757455831299179
3-13,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.3107761442661285,0.4152955065170924,26.58888888888889,0.0761168447857871
3-15,16.666666666666664,0.0,0.0,0.0,16.666666666666664,33.33333333333333,33.33333333333333,0.0694521889090538,0.317474365234375,27.4,0.0768453536440809
Avg,15.624999999999998,1.0416666666666665,13.541666666666664,0.0,19.791666666666668,20.83333333333333,29.166666666666664,0.4056154988982059,0.5157523144174505,24.114814814814814,0.07677821350200462
